road_link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,speed,notes
3002,3,2,0854:00_0855:00,0.000,155.000,98.000,0.000,45.000,60.000,simulation-based
3002,3,2,0855:00_0856:00,2.000,156.000,100.000,0.000,45.000,60.000,simulation-based
3002,3,2,0856:00_0857:00,1.000,156.000,101.000,0.000,45.000,60.000,simulation-based
3002,3,2,0857:00_0858:00,1.000,158.000,102.000,0.000,45.000,60.000,simulation-based
3002,3,2,0858:00_0859:00,2.000,160.000,104.000,0.000,45.000,60.000,simulation-based
3002,3,2,0859:00_0900:00,0.000,161.000,104.000,0.000,45.000,60.000,simulation-based
1004,1,4,0700:00_0701:00,0.000,7.000,0.000,0.000,0.000,60.000,simulation-based
1004,1,4,0701:00_0702:00,0.000,72.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0702:00_0703:00,0.000,137.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0703:00_0704:00,0.000,202.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0704:00_0705:00,0.000,267.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0705:00_0706:00,0.000,332.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0706:00_0707:00,0.000,397.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0707:00_0708:00,0.000,462.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0708:00_0709:00,0.000,527.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0709:00_0710:00,0.000,592.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0710:00_0711:00,0.000,657.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0711:00_0712:00,0.000,722.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0712:00_0713:00,0.000,787.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0713:00_0714:00,0.000,852.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0714:00_0715:00,0.000,917.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0715:00_0716:00,0.000,982.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0716:00_0717:00,0.000,1047.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0717:00_0718:00,0.000,1112.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0718:00_0719:00,0.000,1177.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0719:00_0720:00,0.000,1242.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0720:00_0721:00,0.000,1308.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0721:00_0722:00,0.000,1373.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0722:00_0723:00,0.000,1438.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0723:00_0724:00,0.000,1503.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0724:00_0725:00,0.000,1568.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0725:00_0726:00,0.000,1633.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0726:00_0727:00,0.000,1698.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0727:00_0728:00,0.000,1763.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0728:00_0729:00,0.000,1828.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0729:00_0730:00,0.000,1893.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0730:00_0731:00,0.000,1958.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0731:00_0732:00,0.000,2023.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0732:00_0733:00,0.000,2088.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0733:00_0734:00,0.000,2153.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0734:00_0735:00,0.000,2218.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0735:00_0736:00,0.000,2283.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0736:00_0737:00,0.000,2348.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0737:00_0738:00,0.000,2413.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0738:00_0739:00,0.000,2478.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0739:00_0740:00,0.000,2543.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0740:00_0741:00,0.000,2608.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0741:00_0742:00,0.000,2673.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0742:00_0743:00,0.000,2738.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0743:00_0744:00,0.000,2803.000,0.000,0.000,45.000,60.000,simulation-based
1004,1,4,0744:00_0745:00,0.000,2868.000,0.000,0.000,45.000,60.000,simulation-based
